State,"SEQST00
eGRID2002 2000 file State sequence number","SEQST99
eGRID2002 1999 file State sequence number","PSTATABB
State abbreviation","FIPST
FIPS State code","BOILCAP
State boiler capacity (MMBtu/hr)","NAMEPCAP
State generator capacity (MW)","STHTIAN
State 1996 annual heat input (MMBtu)","STHTIOZ
State 1996 ozone season heat input (MMBtu)","STNGENAN
State 1996 annual net generation (MWh)","STNGENOZ
State 1996 ozone season net generation","STNOXAN
State 1996 annual NOx emissions (tons)","STNOXOZ
State 1996 ozone season NOx emissions (tons)","STSO2AN
State 1996 annual SO2 emissions (tons)","STCO2AN
State 1996 annual CO2 emissions (tons)","STHGAN
State 1996 annual mercury emissions (lbs)","STNOXRTA
State average 1996 annual NOx output emission rate (lbs/MWh)","STNOXRTO
State average 1996 ozone season NOx output emission rate (lbs/MWh)","STSO2RTA
State average 1996 annual SO2 output emission rate (lbs/MWh)","STCO2RTA
State average 1996 annual CO2 output emission rate (lbs/MWh)","STHGRTA
State average 1996 annual mercury output emission rate (lbs/GWh)","STNOXRA
State average 1996 annual NOx input emission rate (lbs/MMBtu)","STNOXRO
State average 1996 ozone season NOx input emission rate (lbs/MMBtu)","STSO2RA
State average 1996 annual SO2 input emission rate (lbs/MMBtu)","STCO2RA
State average 1996 annual CO2 input emission rate (lbs/MMBtu)","STHGRA
State average 1996 annual mercury input emission rate (lbs/BBtu)","STCNOXRT
State coal 1996 annual NOx output emission rate (lbs/MWh)","STONOXRT
State oil 1996 annual NOx output emission rate (lbs/MWh)","STGNOXRT
State gas 1996 annual NOx output emission rate (lbs/MWh)","STFSNXRT
State fossil fuel 1996 annual NOx output emission rate (lbs/MWh)","STCNXORT
State coal 1996 ozone season NOx output emission rate (lbs/MWh)","STONXORT
State oil 1996 ozone season NOx output emission rate (lbs/MWh)","STGNXORT
State gas 1996 ozone season NOx output emission rate (lbs/MWh)","STFSNORT
State fossil fuel 1996 ozone season NOx output emission rate (lbs/MWh)","STCSO2RT
State coal 1996 annual SO2 output emission rate (lbs/MWh)","STOSO2RT
State oil 1996 annual SO2 output emission rate (lbs/MWh)","STGSO2RT
State gas 1996 annual SO2 output emission rate (lbs/MWh)","STFSS2RT
State fossil fuel 1996 annual SO2 output emission rate (lbs/MWh)","STCCO2RT
State coal 1996 annual CO2 output emission rate (lbs/MWh)","STOCO2RT
State oil 1996 annual CO2 output emission rate (lbs/MWh)","STGCO2RT
State gas 1996 annual CO2 output emission rate (lbs/MWh)","STFSC2RT
State fossil fuel 1996 annual CO2 output emission rate (lbs/MWh)","STCHGRT
State coal 1996 annual mercury output emission rate (lbs/GWh)","STFSHGRT
State fossil fuel 1996 annual mercury output emission rate (lbs/GWh)","STCNOXR
State coal 1996 annual NOx input emission rate (lbs/MMBtu)","STONOXR
State oil 1996 annual NOx input emission rate (lbs/MMBtu)","STGNOXR
State gas 1996 annual NOx input emission rate (lbs/MMBtu)","STFSNXR
State fossil fuel 1996 annual NOx input emission rate (lbs/MMBtu)","STCNXOR
State coal 1996 ozone season NOx input emission rate (lbs/MMBtu)","STONXOR
State oil 1996 ozone season NOx input emission rate (lbs/MMBtu)","STGNXOR
State gas 1996 ozone season NOx input emission rate (lbs/MMBtu)","STFSNOR
State fossil fuel 1996 ozone season NOx input emission rate (lbs/MMBtu)","STCSO2R
State coal 1996 annual SO2 input emission rate (lbs/MMBtu)","STOSO2R
State oil 1996 annual SO2 input emission rate (lbs/MMBtu)","STGSO2R
State gas 1996 annual SO2 input emission rate (lbs/MMBtu)","STFSS2R
State fossil fuel 1996 annual SO2 input emission rate (lbs/MMBtu)","STCCO2R
State coal 1996 annual CO2 input emission rate (lbs/MMBtu)","STOCO2R
State oil 1996 annual CO2 input emission rate (lbs/MMBtu)","STGCO2R
State gas 1996 annual CO2 input emission rate (lbs/MMBtu)","STFSC2R
State fossil fuel 1996 annual CO2 input emission rate (lbs/MMBtu)","STCHGR
State coal 1996 annual mercury input emission rate (lbs/BBtu)","STFSHGR
State fossil fuel 1996 annual mercury input emission rate (lbs/BBtu)","STGENACL
State 1996 annual coal net generation (MWh)","STGENAOL
State 1996 annual oil net generation (MWh)","STGENAGS
State 1996 annual gas net generation (MWh)","STGENANC
State 1996 annual nuclear net generation (MWh)","STGENAHY
State 1996 annual hydro net generation (MWh)","STGENABM
State 1996 annual biomass/ wood net generation (MWh)","STGENAWI
State 1996 annual wind net generation (MWh)","STGENASO
State 1996 annual solar net generation (MWh)","STGENAGT
State 1996 annual geothermal net generation (MWh)","STGENAOF
State 1996 annual other fossil (tires, batteries, chemicals, etc.) net generation (MWh)","STGENASW
State 1996 annual solid waste net generation (MWh)","STGENATN
State 1996 annual total nonrenewables net generation (MWh)","STGENATR
State 1996 annual total renewables net generation (MWh)","STGENATH
State 1996 annual total nonhydro renewables net generation (MWh)","STCLPR
State 1996 coal generation percent (resource mix)","STOLPR
State 1996 oil generation percent (resource mix)","STGSPR
State 1996 gas generation percent (resource mix)","STNCPR
State 1996 nuclear generation percent (resource mix)","STHYPR
State 1996 hydro generation percent (resource mix)","STBMPR
State 1996 biomass/ wood generation percent (resource mix)","STWIPR
State 1996 wind generation percent (resource mix)","STSOPR
State 1996 solar generation percent (resource mix)","STGTPR
State 1996 geothermal generation percent (resource mix)","STOFPR
State 1996 other fossil (tires, batteries, chemicals, etc.) generation percent (resource mix)","STSWPR
State 1996 solid waste generation percent (resource mix)","STTNPR
State 1996 total nonrenewables generation percent (resource mix)","STTRPR
State 1996 total renewables generation percent (resource mix)","STTHPR
State 1996 total nonhydro renewables generation percent (resource mix)","STTYP
State inclusion of nonutilities flag","SEQST
eGRID96 1996 file State sequence number","SEQST97
eGRID97 1997 file State sequence number","SEQST98
eGRID2000 1998 file State sequence number"
Alaska,N/A,N/A,AK,2,N/A,2192.71,41659148.7,17357978.6,4982268,1871434.8,16465,6861,2917,2937571,N/A,6.61,7.33,1.17,1179.21,N/A,0.79,0.79,0.14,141.03,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,229129,643278,2843998,0,1265863,0,0,0,0,N/A,0,3716405,1265863,0,4.599,12.911,57.082,0,25.407,0,0,0,0,N/A,0,74.593,25.407,0,1,1,1,1
Alabama,N/A,N/A,AL,1,104151.25,23337.18,780743200.1,325309666.7,115093211,51669230,219278,91366,585040,79723804,N/A,3.81,3.54,10.17,1385.38,N/A,0.56,0.56,1.5,204.23,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,73598580,155778,549397,29707535,11081921,0,0,0,0,N/A,0,104011290,11081921,0,63.947,0.135,0.477,25.812,9.629,0,0,0,0,N/A,0,90.371,9.629,0,1,2,2,2
Arkansas,N/A,N/A,AR,5,52260,9910.41,316437828.6,131849095.2,43677535,19708994.5,50609,21087,95443,31157441,N/A,2.32,2.14,4.37,1426.7,N/A,0.32,0.32,0.6,196.93,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,24339185,98250,3086760,13356671,2796669,0,0,0,0,N/A,0,40880866,2796669,0,55.725,0.225,7.067,30.58,6.403,0,0,0,0,N/A,0,93.597,6.403,0,1,3,3,3
Arizona,N/A,N/A,AZ,4,60203.75,17002.84,364103391.8,151709746.6,70877043,32527080,72906,30378,120322,36548209,N/A,2.06,1.87,3.4,1031.31,N/A,0.4,0.4,0.66,200.76,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,30780575,65097,1712031,28839587,9479753,0,0,0,0,N/A,0,61397290,9479753,0,43.428,0.092,2.416,40.69,13.375,0,0,0,0,N/A,0,86.625,13.375,0,1,4,4,4
California,N/A,N/A,CA,6,160592.5,55448.62,361310839.1,150546183,114559753,53199146,20999,8749,1850,23509205,N/A,0.37,0.33,0.03,409.98,N/A,0.12,0.12,0.01,130.13,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,673911,30768135,34096860,43911346,0,9992,2909,5042015,N/A,54585,65538906,49020847,5109501,0,0.588,26.828,29.731,38.398,0,0.009,0.003,4.396,N/A,0.048,57.147,42.853,4.455,1,5,5,5
Colorado,N/A,N/A,CO,8,46852.5,7697.68,356912234,148713430.9,33971688,14580939.2,83076,34615,92812,36563631,N/A,4.89,4.75,5.46,2152.59,N/A,0.47,0.47,0.52,204.89,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,31952337,15539,418925,0,1584887,0,0,0,0,N/A,0,32386801,1584887,0,94.056,0.046,1.233,0,4.665,0,0,0,0,N/A,0,95.335,4.665,0,1,6,6,6
Connecticut,N/A,N/A,CT,9,26165,7995.73,107896422.8,44956842.8,15773738,5647562.3,11842,4934,36486,9040895,N/A,1.5,1.75,4.63,1146.32,N/A,0.22,0.22,0.68,167.58,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2367889,5255050,958819,6225233,530195,0,0,0,0,N/A,436552,14806991,966747,436552,15.012,33.315,6.079,39.466,3.361,0,0,0,0,N/A,2.768,93.871,6.129,2.768,1,7,7,7
District of Columbia,N/A,N/A,DC,11,4677.5,966.8,759352.3,316396.8,109809,51470,187,78,763,61916,N/A,3.41,3.03,13.9,1127.7,N/A,0.49,0.49,2.01,163.07,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,109809,0,0,0,0,0,0,0,N/A,0,109809,0,0,0,100,0,0,0,0,0,0,0,N/A,0,100,0,0,1,8,8,8
Delaware,N/A,N/A,DE,10,14683.75,2479.12,95710061.5,39879192.3,8121853,3605431.7,20013,8339,42181,11538471,N/A,4.93,4.63,10.39,2841.34,N/A,0.42,0.42,0.88,241.11,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,4225125,1188294,2708434,0,0,0,0,0,0,N/A,0,8121853,0,0,52.022,14.631,33.348,0,0,0,0,0,0,N/A,0,100,0,0,1,9,9,9
Florida,N/A,N/A,FL,12,206215,45258.13,1449576811,603990337.7,147489082.2,70266244.9,354688,147787,649969,130606561,N/A,4.81,4.21,8.81,1771.07,N/A,0.49,0.49,0.9,180.2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,65944282,22728682,33130267.2,25470291,215560,0,0,0,0,N/A,0,147273522.2,215560,0,44.711,15.41,22.463,17.269,0.146,0,0,0,0,N/A,0,99.854,0.146,0,1,10,10,10
